number,date,place,claim,infact,slug,repeat,source,category1,category2,category3,category4,placecategory
1,1-20-2017,Post-inauguration Liberty Ball,"""I looked at the rain, which just never came. We finished the speech, went inside, it poured ... it's like God was looking down on us.""","The rain began right at the beginning of Trump's speech. During the inauguration itself, the Rev. Franklin Graham told Trump, ""Mr. President, in the Bible, rain is a sign of God's blessing. And it started to rain, Mr. President, when you came to the platform.""",Inaugural rain,Yes,https://www.thestar.com/news/world/2017/01/20/donald-trump-inauguration.html,Inauguration,Weather,,,Informal remarks at events
2,1-20-2017,Post-inauguration Salute To Our Armed Services Ball,"""Even the media said the crowd was massive ... that was all the way back down to the Washington Monument.""","The major media reported that the crowd was much smaller than Barack Obama's two inauguration crowds, though in line with the inaugurations of other Republicans. The crowd did not come close to reaching the Washington Monument.",Inaugural size,Yes,https://www.thestar.com/news/world/2017/01/20/donald-trump-inauguration.html,Inauguration,Exaggeration,Crowds,Media,Informal remarks at events
3,1-21-2017,Speech at Central Intelligence Agency headquarters,"""Honestly, it looked like a million and a half people. Whatever it was it was, but it went all the way back to the Washington Monument."" Later: ""...all the way back to the Washington Monument, was packed.""","The crowd, which may not have even been half a million people strong, did not come close to reaching the Washington Monument.",Inaugural size,Yes,https://www.youtube.com/watch?v=i_SXqfzvp-I,Inauguration,Exaggeration,Crowds,,Speeches
4,1-21-2017,Speech at Central Intelligence Agency headquarters,"""It was almost raining, the rain should have scared em away, but God looked down and He said, we're not going to let it rain on your speech. In fact, when I first started, I said oh no. First line, I got hit by a couple of drops, and I said this is too bad ... but the truth is that, it stopped immediately, it was amazing, and then it became really sunny.""","Neither of these claims is true. The rain did not stop immediately, and the sky then remained cloudy.",Inaugural rain,Yes,https://www.youtube.com/watch?v=i_SXqfzvp-I,Inauguration,,,,Speeches
5,1-21-2017,Speech at Central Intelligence Agency headquarters,"""So a reporter for TIME magazine -- and I have been on their cover, like, 14 or 15 times. I think we have the all-time record in the history of Time Magazine. Like, if Tom Brady is on the cover, it's one time, because he won the Super Bowl or something, right? I've been on for 15 times this year. I don't think that's a record, Mike, that can ever be broken. Do you agree with that?""","Trump's numbers are well off. He has been on the cover 11 times, TIME told Politico, which is not even close to a record: Richard Nixon was on 55 covers. Even if we generously give Trump a pass here -- he said he was on covers ""like"" 14 or 15 times, and he wasn't sure if he had a record -- he his claim about this year is flat wrong. Trump was on eight covers in 2016 and another one on the 2017 week he was speaking here -- so either eight or nine total, depending on how you count, not 15.",TIME covers,Yes,https://www.youtube.com/watch?v=i_SXqfzvp-I,Media,Exaggeration,,,Speeches
6,1-23-2017,Private meeting with Congressional leaders,"Trump told Congressional leaders that ""he lost the popular vote to Hillary Clinton in last November's election because between three million and five million 'illegals' cast ballots, multiple sources told Fox News.""","This claim, also reported by numerous other major media outlets, simply has no basis in reality. Trump's own lawyers said in a legal filing that ""all available evidence suggests that the 2016 general election was not tainted by fraud."" The National Association of Secretaries of State -- the state officials who run elections -- said they ""are not aware of any evidence that supports the voter fraud claims made by President Trump.""",Mass fraud,Yes,http://www.foxnews.com/politics/2017/01/24/trump-tells-congressional-leaders-3-5-million-illegals-cost-him-popular-vote.html,Voter fraud,Election,Hillary Clinton,,Informal remarks at events
7,1-25-2017,Interview with ABC's David Muir,"""In terms of a total audience including television and everything else that you have we had supposedly the biggest crowd in history. The audience watching the show. And I think you would even agree to that. They say I had the biggest crowd in the history of inaugural speeches.""","""They"" can mean anyone, but no expert is declaring that Trump had the biggest inauguration crowd in history. Obama's 2009 inauguration drew far more people in person and far more television viewers. Trump's claim relies on the people who watched the inauguration on online streams. It is possible that these people gave him a record, but it is impossible to know for sure.",Inaugural record,no,http://abcnews.go.com/Politics/transcript-abc-news-anchor-david-muir-interviews-president/story?id=45047602,Inauguration,Exaggeration,Crowds,,Interviews
8,1-25-2017,Interview with ABC's David Muir,"""No, no, you have to understand, I had a tremendous victory, one of the great victories ever. In terms of counties I think the most ever, or just about the most ever.""","Trump's victory was not close to one of the biggest of all time. He lost the popular vote, and his Electoral College margin ranks 46th out of 58 elections. Trump did far better in terms of counties, winning more than any candidate since Ronald Reagan, but he was well short of setting the record or even ""just about"" tying it: Richard Nixon won more than 2,950 counties in 1972, far exceeding Trump's 2,623.",Election victory size,Yes,http://abcnews.go.com/Politics/transcript-abc-news-anchor-david-muir-interviews-president/story?id=45047602,Election,Exaggeration,,,Interviews
9,1-25-2017,Interview with ABC's David Muir,"""I think you're demeaning by talking the way you're talking. I think you're demeaning. And that's why I think a lot of people turned on you and turned on a lot of other people. And that's why you have a 17 per cent approval rating, which is pretty bad.""","Saying ""you"" here, Trump wrongly conveys the impression that Muir himself has 17 per cent approval. In fact, there is no polling on Muir. Trump appears to have actually been referring to a 2016 poll about Americans' views on the media. In that poll, the media's approval rating was 19 per cent.",Media approval,Yes,http://abcnews.go.com/Politics/transcript-abc-news-anchor-david-muir-interviews-president/story?id=45047602,Media,Exaggeration,Polls,,Interviews
10,1-25-2017,Interview with ABC's David Muir,"With regard to his speech to the Central Intelligence Agency earlier in the week: ""They showed the people applauding and screaming and they were all CIA. There was -- somebody was asking (press secretary) Sean (Spicer) -- 'Well, were they Trump people that were put' -- we don't have Trump people. They were CIA people.""","Most of the audience was indeed made up of CIA personnel, but Trump is wrong that there were no ""Trump people."" Spicer told the press that ""maybe 10"" people in attendance were part of Trump's entourage; CBS News reported that an official familiar with the event said Spicer was inaccurate, as Trump and his allies brought about 40 people.",CIA speech plants,no,http://abcnews.go.com/Politics/transcript-abc-news-anchor-david-muir-interviews-president/story?id=45047602,Trump White House,US intelligence,Crowds,,Interviews
